epoch,csi_feature_mode,spatial_stem_type,background_kernel_size,input_calibration,wrist_refinement,latent_structure_loss_weight,encoder_relation_loss_weight,distal_loss_weight,distal_replay_factor,distal_replay_fraction,source_replay_weight,wrist_direction_loss_weight,train_loss,train_coord_loss,train_bone_loss,train_mpjpe,train_pck_0_2,val_loss,val_coord_loss,val_bone_loss,val_mpjpe,val_pck_0_2,current_lr,epoch_time,train_target_loss
1,raw,baseline,9,none,False,0.0,0.0,0.0,1,0.5,0.0,0.0,0.1547790695119787,0.1174695016057403,0.07461913807524576,0.18919140641336088,0.7361111221490083,0.14814238377559333,0.11173209203614129,0.07282058438769093,0.18034587619481263,0.7628532299288997,3.483407937860376e-05,2.709724372252822,0.1547790695119787
2,raw,baseline,9,none,False,0.0,0.0,0.0,1,0.5,0.0,0.0,0.14162711887447924,0.10617003976194947,0.07091416087415484,0.17119700919698785,0.7756173001395331,0.13798429773177628,0.10289021719017147,0.07018816185218317,0.1659016877118452,0.7926268930494049,7.750256825599257e-05,1.5310646630823612,0.14162711887447924
3,raw,baseline,9,none,False,0.0,0.0,0.0,1,0.5,0.0,0.0,0.13083463222892197,0.09678857343064415,0.06809211400923905,0.1559286446483047,0.8069958889925921,0.13049283734810205,0.09634106634943573,0.06830354209851336,0.15529711759384768,0.8113786071318168,0.00014273090204073078,1.5225822529755533,0.13083463222892197
4,raw,baseline,9,none,False,0.0,0.0,0.0,1,0.5,0.0,0.0,0.1226201272673077,0.0896330651309755,0.06597412162356907,0.14439918873486696,0.8270576309274744,0.1255682999521126,0.09198119978477926,0.06717420008263471,0.14809205568866965,0.8234773718869245,0.00022245572839034455,1.5377447777427733,0.1226201272673077
5,raw,baseline,9,none,False,0.0,0.0,0.0,1,0.5,0.0,0.0,0.11343070031316192,0.08185359029858201,0.06315422022232303,0.13187725102459943,0.8461934248606364,0.12135812494121952,0.08831461480738204,0.06608702025111811,0.1421653574852296,0.8326131760338207,0.0003068216772838708,1.532112977001816,0.11343070031316192
6,raw,baseline,9,none,False,0.0,0.0,0.0,1,0.5,0.0,0.0,0.10444921277187488,0.07458664576212565,0.05972513446101436,0.12040603447843481,0.8634773770968119,0.11796371242514363,0.0853856429807198,0.06515613837190616,0.1375613151104362,0.8374074144127929,0.00038539965553182774,1.5084839770570397,0.10444921277187488
7,raw,baseline,9,none,False,0.0,0.0,0.0,1,0.5,0.0,0.0,0.09537829789850447,0.06758431510792838,0.05558796817505801,0.10920467790630128,0.8816872548173975,0.11719530854696109,0.0847952505191903,0.06480011615672229,0.13635878728495704,0.8393141357987015,0.00044847606341137875,1.520561205688864,0.09537829789850447
8,raw,baseline,9,none,False,0.0,0.0,0.0,1,0.5,0.0,0.0,0.08821698167809734,0.062334707158583184,0.05176454992206008,0.10095845858256022,0.8949588532801027,0.1170828711029924,0.08379014568932262,0.06658544970515333,0.13480316910478804,0.8420370451609294,0.0004882535639108369,1.5440057087689638,0.08821698167809734
9,raw,baseline,9,none,False,0.0,0.0,0.0,1,0.5,0.0,0.0,0.08261939325818309,0.05821421974235111,0.0488103457071163,0.09369431700971391,0.9091563887066312,0.11480870073592221,0.0826354690944707,0.06434646303087105,0.1330285573778329,0.8414677673504677,0.0004999654650542295,1.5180665897205472,0.08261939325818309
10,raw,baseline,9,none,False,0.0,0.0,0.0,1,0.5,0.0,0.0,0.07682803847171642,0.05416344219335803,0.04532919388126444,0.08760600222481621,0.9225308753826,0.11650494874259572,0.0835332954445003,0.06594330612891985,0.13418439092827433,0.8447462340931834,0.0004965543703535437,1.5469814660027623,0.07682803847171642
