epoch,axial_mode,decoder_type,csi_feature_mode,spatial_stem_type,background_kernel_size,input_calibration,wrist_refinement,latent_structure_loss_weight,encoder_relation_loss_weight,train_loss,train_coord_loss,train_bone_loss,train_mpjpe,train_pck_0_2,val_loss,val_coord_loss,val_bone_loss,val_mpjpe,val_pck_0_2,val_pck_0_5,current_lr,epoch_time
1,parallel_concat,joint,raw,baseline,9,none,False,0.0,0.0,0.1808673345145197,0.11725422361632717,0.127226222685346,0.1894513416981488,0.7367854286260972,0.11542174932149418,0.08404615847211432,0.06275118202737076,0.1361430538547346,0.8337884413775676,0.9736897707353447,2.524528036268529e-05,44.592091989703476
2,parallel_concat,joint,raw,baseline,9,none,False,0.0,0.0,0.11726227742368571,0.08428963010901006,0.06594529479132302,0.13655472657382747,0.8323441447555496,0.11307891338946884,0.08142939550225163,0.06329903687216332,0.1318779546932442,0.8380492627231494,0.9743295529386032,4.0751846733381384e-05,42.623303739354014
3,parallel_concat,joint,raw,baseline,9,none,False,0.0,0.0,0.11282304151922297,0.08125173528595213,0.06314261252292572,0.13172659683845764,0.8394817979671594,0.10826425894141324,0.07828749244771505,0.059953533128924714,0.12701707080963684,0.8427915703750741,0.9760114562691184,6.584189671144758e-05,43.59488357277587
4,parallel_concat,joint,raw,baseline,9,none,False,0.0,0.0,0.1082965909503621,0.07776267414788837,0.061067833461868545,0.12621007981891927,0.8494044708295949,0.10616375161833538,0.07680585569364079,0.058715792281935054,0.12465046461886979,0.8516232079003552,0.9797973850199974,9.941872740981103e-05,42.406931907869875
5,parallel_concat,joint,raw,baseline,9,none,False,0.0,0.0,0.10320698092410195,0.07394877921073902,0.058516403362808264,0.12015130213286057,0.859600116537216,0.10269721078820315,0.07398201377712306,0.057430395080526525,0.11985173796858738,0.8606790995478956,0.980305255598684,0.00014001467307261055,41.459002054762095
6,parallel_concat,joint,raw,baseline,9,none,False,0.0,0.0,0.09806156751574456,0.07029780876819901,0.055527517506332606,0.11425336208216565,0.8704092890525639,0.09629122490687139,0.0696392961330274,0.05330385770646506,0.11329978114058353,0.8705330724092329,0.9809780154816402,0.00018585525772826518,40.05932770529762
7,parallel_concat,joint,raw,baseline,9,none,False,0.0,0.0,0.09285744491657645,0.06653882881383853,0.05263723240523308,0.10823269741709306,0.8807357151725487,0.09398626970667023,0.0677323796582147,0.052507780365814834,0.11011820434365224,0.8797208756530397,0.9836624654556813,0.00023493675872253894,41.38083379808813
8,parallel_concat,joint,raw,baseline,9,none,False,0.0,0.0,0.08836166703481604,0.06336626920795231,0.04999079555967557,0.10309092521182507,0.890603090805393,0.09009128693541198,0.06441239283907645,0.051357786922012275,0.10522063052878589,0.8844236071158175,0.9857335136492377,0.0002851137907776285,41.42324714688584
9,parallel_concat,joint,raw,baseline,9,none,False,0.0,0.0,0.08407911786051646,0.06033443486660387,0.04748936582208668,0.09823603246948695,0.8989879902942796,0.08628422895980026,0.061968785438743665,0.0486308877497547,0.1010104720184968,0.892918866447495,0.9859247888109682,0.0003341930822193975,41.50538170710206
10,parallel_concat,joint,raw,baseline,9,none,False,0.0,0.0,0.08024615722509985,0.05755698932922605,0.04537833604035534,0.09384636688391569,0.9058158078430218,0.08276956093667961,0.05948382699279424,0.0465714675025484,0.09715454807082859,0.8974105353509957,0.9860567013413213,0.00038002934435106225,41.52044210396707
11,parallel_concat,joint,raw,baseline,9,none,False,0.0,0.0,0.07764732178689951,0.05574858612327584,0.04379747118040165,0.09101470441546652,0.9103518864377546,0.08139006729103615,0.058764465776384125,0.04525120306866661,0.09560546717204788,0.9010975322516191,0.9879298811922387,0.00042061904345880525,41.50265727005899
12,parallel_concat,joint,raw,baseline,9,none,False,0.0,0.0,0.07499856373758826,0.0538434742137911,0.0423101790738441,0.08800490163922903,0.9149862710008954,0.07672041230842208,0.05526477909842304,0.04291126649783864,0.09040069163011907,0.9076404629701336,0.9892358282859827,0.00045418797661215014,41.845139337237924
13,parallel_concat,joint,raw,baseline,9,none,False,0.0,0.0,0.07274674605317746,0.052203022245323874,0.04108744757803933,0.08537655805385982,0.918834212894396,0.07645223803166311,0.054740162755598315,0.043424150934256014,0.08977666963964337,0.9105293754159619,0.9892754012058258,0.00047926882326221755,41.558464208152145
14,parallel_concat,joint,raw,baseline,9,none,False,0.0,0.0,0.07059575541577488,0.05069839304394138,0.03979472489063044,0.08303042027326225,0.9218483178063172,0.07423666266809163,0.05324058846138116,0.0419921487672417,0.08726375581212116,0.910239165983842,0.9900207179863323,0.0004947652828055648,41.75150069966912
15,parallel_concat,joint,raw,baseline,9,none,False,0.0,0.0,0.06839278015048454,0.049087007683662455,0.03861154505418125,0.08044033574614444,0.926404584021033,0.07325181091598132,0.05279893557563518,0.04090575066963539,0.08689091901880792,0.9106019305585612,0.9885168993797153,0.0004999999989704114,41.61146105406806
16,parallel_concat,joint,raw,baseline,9,none,False,0.0,0.0,0.06639181591516818,0.047636489224714994,0.037510653320696696,0.07816629103291552,0.9292440225176077,0.07244640059665661,0.05236908504112477,0.040154630728937254,0.08592123092795358,0.9144208387440886,0.9897041225693761,0.0004989915789377818,41.45166722871363
17,parallel_concat,joint,raw,baseline,9,none,False,0.0,0.0,0.06424204360666325,0.04608922005041072,0.036305646909098745,0.07568761349155191,0.933471142428305,0.07165106765242125,0.051843861250862946,0.0396144125019267,0.08557332761406149,0.9108657562561447,0.9880222203923166,0.0004959785056303427,41.47353477310389
18,parallel_concat,joint,raw,baseline,9,none,False,0.0,0.0,0.06258969136651861,0.04485742969676653,0.035464523384646694,0.07373382853726206,0.9364317066758548,0.07182326223194832,0.05166716825747297,0.040312187507117035,0.08489751422170307,0.9125344696229475,0.9887609401777269,0.0004909850385427073,41.747853121720254
19,parallel_concat,joint,raw,baseline,9,none,False,0.0,0.0,0.060693248899999185,0.04348449995584544,0.03441749779599186,0.07153577238965189,0.9401005935486256,0.06861615647216542,0.04959695993244973,0.03803839324616939,0.08184281218530276,0.9187805936028834,0.9888005121351774,0.0004840513821357542,41.65447694808245
20,parallel_concat,joint,raw,baseline,9,none,False,0.0,0.0,0.05911889898074503,0.04232646794036973,0.03358486200541491,0.06964938518945023,0.9430594019532363,0.06710965535622813,0.048470054778445015,0.0372792004833068,0.07998063498171437,0.9205878159785573,0.9905417767383984,0.00047523336213394814,41.637721410021186
21,parallel_concat,joint,raw,baseline,9,none,False,0.0,0.0,0.057379361337755744,0.04103764959244105,0.03268342357538202,0.06755253887153442,0.9466001418701177,0.06673946723060654,0.04816324115272735,0.03715245284924708,0.07954054540942036,0.9206801537633522,0.9893809339715115,0.0004646019760494319,41.80287432903424
22,parallel_concat,joint,raw,baseline,9,none,False,0.0,0.0,0.05554436425554761,0.039648961072291926,0.03179080636268572,0.06529605152687668,0.9501198152379314,0.0659078565430262,0.047775689943931415,0.03626433296466785,0.07888635134103957,0.922296101239123,0.9900668861038623,0.0004522428215518042,41.78955013630912
23,parallel_concat,joint,raw,baseline,9,none,False,0.0,0.0,0.053669680824861,0.038242567860361655,0.030854226002421544,0.0629928805274801,0.9536781103428869,0.06482534554016203,0.046736701912085545,0.036177287383528454,0.07727681724375633,0.9241363037004757,0.9906736910803137,0.00043825540728601483,41.591014126781374
24,parallel_concat,joint,raw,baseline,9,none,False,0.0,0.0,0.051409924175678266,0.03653534470291271,0.029749158926697192,0.060192516627860904,0.9581439711695571,0.0633876293749024,0.04566418056860681,0.035446897442757225,0.07571663892366082,0.9257852225154762,0.9906670947291711,0.00042275235168726544,41.30072510801256
25,parallel_concat,joint,raw,baseline,9,none,False,0.0,0.0,0.04963853715077538,0.03522285674250242,0.028831360846739054,0.05805754203589779,0.9614108604695129,0.06343882180733564,0.04585683793554846,0.035163968065108964,0.07587178788038072,0.927236279965183,0.989901992270687,0.00040585847624358823,41.08839220693335
26,parallel_concat,joint,raw,baseline,9,none,False,0.0,0.0,0.048060808195111236,0.03405215836127361,0.02801729971661402,0.05613410442829773,0.9640185792343114,0.06183172287610723,0.04460968751233426,0.03444407074169876,0.0741035793766965,0.9270186195191813,0.9899415676601989,0.0003877098005066176,41.42810286907479
27,parallel_concat,joint,raw,baseline,9,none,False,0.0,0.0,0.04583541329757929,0.032381575220366096,0.026907676194007055,0.05341361985911275,0.9678858319422354,0.06209683552548903,0.044823411928192815,0.03454684761519686,0.07428701476605391,0.9300526389172167,0.9915443206645808,0.0003684524469421393,41.45679361280054
28,parallel_concat,joint,raw,baseline,9,none,False,0.0,0.0,0.04417423135600616,0.031118032716444782,0.02611239718501202,0.05130788906319878,0.9707384358575647,0.06103351149740319,0.043686972781317,0.034693077475073136,0.07264782138196232,0.929373284423916,0.9904164619178595,0.00034824146443791386,41.484833681955934
29,parallel_concat,joint,raw,baseline,9,none,False,0.0,0.0,0.04217089299780279,0.029628458862869845,0.025084868369656243,0.048863932370753434,0.9740922203701682,0.060012937617297694,0.04329602490121192,0.03343382587488977,0.07198959359197935,0.9292149850312511,0.9899679531072276,0.00032723957994120005,41.39026989694685
30,parallel_concat,joint,raw,baseline,9,none,False,0.0,0.0,0.04016139055409131,0.028112993846649722,0.024096793360323672,0.04633870923816475,0.9773555999618071,0.05962795861154727,0.04299566090933136,0.033264595532249586,0.0715273842069587,0.9298613664020655,0.9908979452804136,0.00030561588827705734,41.40135250426829
31,parallel_concat,joint,raw,baseline,9,none,False,0.0,0.0,0.038077725621325983,0.026581178320104905,0.02299309456294978,0.04383885235869166,0.9797991835145328,0.059114027177492826,0.04242351101840758,0.03338103273567898,0.07058233037638746,0.9323347520123436,0.9917092126861938,0.0002835444906962405,41.17966131679714
32,parallel_concat,joint,raw,baseline,9,none,False,0.0,0.0,0.03656395845681968,0.025433240381621036,0.0222614360486647,0.04193853932143774,0.9817477308966479,0.05736690107832523,0.041327576613721294,0.03207864938165617,0.0687152319984157,0.9337264447219012,0.9912541120108666,0.000261203093114299,41.676449067890644
33,parallel_concat,joint,raw,baseline,9,none,False,0.0,0.0,0.03471673355142137,0.024066176391724245,0.021301114490782917,0.03967089786288655,0.9841325077412394,0.057825766865592605,0.04165697372254773,0.03233758646300014,0.06945078922067446,0.9332647434283531,0.990363694278953,0.00023877157532803308,41.34729311428964
34,parallel_concat,joint,raw,baseline,9,none,False,0.0,0.0,0.03295296102753983,0.022783120030668055,0.020339681985268275,0.037544099146442696,0.9861293306065563,0.05688277368047777,0.04092031747994366,0.031924912135702664,0.06814082441660213,0.9360481276515543,0.9911815593945474,0.00021643054272913923,41.64543084194884
35,parallel_concat,joint,raw,baseline,9,none,False,0.0,0.0,0.031221010895683278,0.02150177790848308,0.01943846596024553,0.03540302656007675,0.9881296646492357,0.05597901595246688,0.040336703284327695,0.03128462588514283,0.06732799595098703,0.934979628323518,0.991287087879002,0.00019435987217578931,42.066840413957834
