epoch,csi_feature_mode,spatial_stem_type,background_kernel_size,input_calibration,wrist_refinement,latent_structure_loss_weight,encoder_relation_loss_weight,distal_loss_weight,distal_replay_factor,distal_replay_fraction,source_replay_weight,wrist_direction_loss_weight,train_loss,train_coord_loss,train_bone_loss,train_mpjpe,train_pck_0_2,val_loss,val_coord_loss,val_bone_loss,val_mpjpe,val_pck_0_2,current_lr,epoch_time,train_target_loss
1,raw,baseline,9,none,False,0.0,0.0,0.0,1,0.5,0.0,0.0,0.15144387266518158,0.11477154962442539,0.07334464411308736,0.18516177943459264,0.7506858784475444,0.14491020577925223,0.10883204184196614,0.07215632641021116,0.17559483768027506,0.7734842309245357,3.472180046068388e-05,2.8756626448594034,0.15144387266518158
2,raw,baseline,9,none,False,0.0,0.0,0.0,1,0.5,0.0,0.0,0.13668273838213932,0.10185785372684031,0.06964977225403726,0.1644868560411312,0.7930041229283368,0.13395639309176693,0.09941045142986156,0.06909188358136165,0.1604788254072637,0.8007064546479119,7.708110676936722e-05,1.6894869580864906,0.13668273838213932
3,raw,baseline,9,none,False,0.0,0.0,0.0,1,0.5,0.0,0.0,0.12748761980989834,0.09383334510120345,0.0673085521676658,0.1512368099924959,0.8176954791869646,0.12720680610633192,0.09340814976412573,0.06759731120901344,0.15033603058185108,0.8225583058522071,0.00014188120846663827,1.697788093239069,0.12748761980989834
4,raw,baseline,9,none,False,0.0,0.0,0.0,1,0.5,0.0,0.0,0.11878013336732064,0.08653443606547367,0.0644913966641014,0.1393759987052576,0.8365569389896629,0.12064056331360781,0.08774611073511618,0.06578890467315544,0.1412913402767829,0.833278468420476,0.00022117232082733643,1.8208821848966181,0.11878013336732064
5,raw,baseline,9,none,False,0.0,0.0,0.0,1,0.5,0.0,0.0,0.10813115584997483,0.07759698320318151,0.06106834509122519,0.1253256283240554,0.857613178535744,0.116863063890257,0.08450649335612485,0.06471313974003733,0.13627694136198656,0.8412551480458107,0.00030522687773079627,1.764315309934318,0.10813115584997483
6,raw,baseline,9,none,False,0.0,0.0,0.0,1,0.5,0.0,0.0,0.09839148348496284,0.06997846028319112,0.056826046201182,0.11332161748482857,0.8757201689260977,0.11307272823504459,0.08146693987426934,0.0632115763352241,0.1314581714184196,0.846001380343496,0.00038373292572248523,1.7771081747487187,0.09839148348496284
7,raw,baseline,9,none,False,0.0,0.0,0.0,1,0.5,0.0,0.0,0.08976799111675333,0.06353659234297128,0.05246279607584447,0.10297500877468674,0.8910150892940568,0.1119268246638922,0.08008915839739787,0.0636753319443008,0.1293263868086132,0.8479423974178455,0.000447059211689982,1.7960662632249296,0.08976799111675333
8,raw,baseline,9,none,False,0.0,0.0,0.0,1,0.5,0.0,0.0,0.08511960618657831,0.06005156601284757,0.05013608162601789,0.09750827144325515,0.9054183798071779,0.11366265112971081,0.08136548442421136,0.06459433370166355,0.1309940833147661,0.85017833094538,0.0004874367610838726,1.673567261081189,0.08511960618657831
9,raw,baseline,9,none,False,0.0,0.0,0.0,1,0.5,0.0,0.0,0.07740204297466043,0.05417325619930102,0.04645757404742418,0.0879616532428765,0.9210562477877111,0.11108583208955364,0.079551588539724,0.06306848715484878,0.12805632679182807,0.8524485645470796,0.0004999834475494348,1.6805175468325615,0.07740204297466043
10,raw,baseline,9,none,False,0.0,0.0,0.0,1,0.5,0.0,0.0,0.07312781233110546,0.051562413619256314,0.04313079781922293,0.08345011371521302,0.9298354020825139,0.11195507853855322,0.08044654499969364,0.06301706697653842,0.12965829455926095,0.8495953415941309,0.0004967626951568518,1.7704894649796188,0.07312781233110546
11,raw,baseline,9,none,False,0.0,0.0,0.0,1,0.5,0.0,0.0,0.06793204689467394,0.04751346077264091,0.04083717077234645,0.07683453291286657,0.9419067282735566,0.11018711658539596,0.07875889498878408,0.06285644300006055,0.12693552402066596,0.8526817617887332,0.0004880298953010194,1.7459409455768764,0.06793204689467394
12,raw,baseline,9,none,False,0.0,0.0,0.0,1,0.5,0.0,0.0,0.062474074555032046,0.04362523628421772,0.03769767771900436,0.07053200113184659,0.9538408798935972,0.11144038753009136,0.07977386665197066,0.06333304173784492,0.1286082794158547,0.8535048085083197,0.0004739801243001994,1.7436550711281598,0.062474074555032046
13,raw,baseline,9,none,False,0.0,0.0,0.0,1,0.5,0.0,0.0,0.05724737640516257,0.04016790498553971,0.034158943326752865,0.06489407044869883,0.9608367638823426,0.10865948821291511,0.07790114920448374,0.06151667719086011,0.12549554467569163,0.8563580343752731,0.00045492723082200245,1.7361273588612676,0.05724737640516257
