epoch,csi_feature_mode,spatial_stem_type,background_kernel_size,input_calibration,wrist_refinement,latent_structure_loss_weight,encoder_relation_loss_weight,distal_loss_weight,distal_replay_factor,distal_replay_fraction,source_replay_weight,wrist_direction_loss_weight,train_loss,train_coord_loss,train_bone_loss,train_mpjpe,train_pck_0_2,val_loss,val_coord_loss,val_bone_loss,val_mpjpe,val_pck_0_2,current_lr,epoch_time,train_target_loss
1,raw,baseline,9,none,False,0.0,0.0,0.0,1,0.5,0.0,0.0,0.16134150348327778,0.12335511434961248,0.07597278053009951,0.19839650767820852,0.7301440362577085,0.1548866086777552,0.11775504321226968,0.07426312920509047,0.18996825524835664,0.7497499905621932,3.483407937860376e-05,2.9383797580376267,0.16134150348327778
2,raw,baseline,9,none,False,0.0,0.0,0.0,1,0.5,0.0,0.0,0.15601534401928938,0.11875971445330867,0.07451125962866677,0.1911210631882703,0.7491769627288536,0.14924169877082574,0.11278303828723958,0.07291732082246662,0.181930320994767,0.7675206656142017,7.750256825599257e-05,1.5390846556983888,0.15601534401928938
3,raw,baseline,9,none,False,0.0,0.0,0.0,1,0.5,0.0,0.0,0.1490072634485033,0.1128162130161568,0.0723820999816612,0.18158468659277316,0.7665637939064591,0.1425754251898267,0.10693301607412165,0.07128481794905742,0.172514347732773,0.7874098682731093,0.00014273090204073078,1.5682610627263784,0.1490072634485033
4,raw,baseline,9,none,False,0.0,0.0,0.0,1,0.5,0.0,0.0,0.1411794427368376,0.10587696013627229,0.07060496823655235,0.17034373426878893,0.7885802569212736,0.1374859759899069,0.10245834473804635,0.07005526221960373,0.16529472236495513,0.8004105502765136,0.00022245572839034455,1.5960132838226855,0.1411794427368376
5,raw,baseline,9,none,False,0.0,0.0,0.0,1,0.5,0.0,0.0,0.13641814026567672,0.10145590443302084,0.0699244738177017,0.1633558112162131,0.8019547427142107,0.13463336218030234,0.0997415681738867,0.06978358778518447,0.16072191368596128,0.8078254178371095,0.0003068216772838708,1.5623998870141804,0.13641814026567672
6,raw,baseline,9,none,False,0.0,0.0,0.0,1,0.5,0.0,0.0,0.13218139741155838,0.09750772455224284,0.06934734180017754,0.1569397419691086,0.8117284063939695,0.1324661441186151,0.09775042916462355,0.0694314294826894,0.1573831418088859,0.8121151165169374,0.00038539965553182774,1.6242353939451277,0.13218139741155838
7,raw,baseline,9,none,False,0.0,0.0,0.0,1,0.5,0.0,0.0,0.1278793203609961,0.09391406272296553,0.0679305201879254,0.15109062691529593,0.8181070142322117,0.1304344142615541,0.09595341357869709,0.06896200096865561,0.15444979949380933,0.8140889052698703,0.00044847606341137875,1.600822047330439,0.1278793203609961
8,raw,baseline,9,none,False,0.0,0.0,0.0,1,0.5,0.0,0.0,0.12333696926081622,0.08983157470270439,0.067010783818033,0.14486928317281936,0.8253086491867349,0.12858479800014233,0.09407427881225372,0.06902103724460193,0.15126627484580907,0.8171022233100143,0.0004882535639108369,1.6122880671173334,0.12333696926081622
9,raw,baseline,9,none,False,0.0,0.0,0.0,1,0.5,0.0,0.0,0.1197584616365256,0.08676101995839013,0.06599488379778685,0.13994064612521065,0.8309670867743315,0.12770926818950432,0.09339066178015994,0.0686372136128056,0.15016028470673418,0.8195365608049083,0.0004999654650542295,1.611708315089345,0.1197584616365256
10,raw,baseline,9,none,False,0.0,0.0,0.0,1,0.5,0.0,0.0,0.11609780153742542,0.0838299807575014,0.0645356406768163,0.13514825966623095,0.8406378675390173,0.1254875984930529,0.091437562761898,0.0681000720234857,0.1470647292261946,0.8208853139915719,0.0004965543703535437,1.5974529581144452,0.11609780153742542
11,raw,baseline,9,none,False,0.0,0.0,0.0,1,0.5,0.0,0.0,0.11164571515939854,0.08011844594169545,0.06305453818705346,0.12941600327138547,0.8478395183881123,0.12539149056334792,0.09120012502473206,0.0683827299478211,0.14670755992295448,0.8242275995532803,0.0004876358818214678,1.6157144741155207,0.11164571515939854
12,raw,baseline,9,none,False,0.0,0.0,0.0,1,0.5,0.0,0.0,0.1087735797520037,0.07780825203215634,0.061930653673631174,0.12572456068462795,0.8529835440494397,0.12384949150891848,0.09007257135776421,0.06755384069407286,0.14485829508471185,0.8243131297620649,0.00047340922375444986,1.6228075856342912,0.1087735797520037
13,raw,baseline,9,none,False,0.0,0.0,0.0,1,0.5,0.0,0.0,0.10571277075343662,0.07523380297201651,0.06095793434867153,0.12159191535578834,0.8582304654298005,0.12397627934128794,0.09014549216829956,0.06766157434774145,0.1449995383210851,0.824161804298381,0.0004541921961848622,1.6270344918593764,0.10571277075343662
14,raw,baseline,9,none,False,0.0,0.0,0.0,1,0.5,0.0,0.0,0.10281732667375494,0.07307313680648804,0.05948838100389198,0.11832706448104646,0.8625514454311795,0.12372193411027917,0.08992218148900344,0.06759950479078722,0.1446132004677487,0.8269382662142921,0.00043041407575342735,1.572810344863683,0.10281732667375494
15,raw,baseline,9,none,False,0.0,0.0,0.0,1,0.5,0.0,0.0,0.09965691538872543,0.07060189208498707,0.058110046165960806,0.11437054850437023,0.8679012307414302,0.12301861828308656,0.08915215306961666,0.06773293113282143,0.14330299022157064,0.8284515024417387,0.00040260602637842225,1.611863608006388,0.09965691538872543
16,raw,baseline,9,none,False,0.0,0.0,0.0,1,0.5,0.0,0.0,0.09744549090111697,0.06892409959325084,0.05704277996663694,0.11146658587234992,0.8725308621371234,0.12334412478231695,0.08963448953629952,0.0674192707726228,0.14420582516774472,0.8272409114663717,0.00037138923393146623,1.601397150196135,0.09744549090111697
17,raw,baseline,9,none,False,0.0,0.0,0.0,1,0.5,0.0,0.0,0.095305028171451,0.06729095018020383,0.05602815661717344,0.10887013762085526,0.8784979520020662,0.12335066901090189,0.08946397806699104,0.06777338259546806,0.14388939795802974,0.8259645291043367,0.0003374610299716276,1.6341340988874435,0.095305028171451
18,raw,baseline,9,none,False,0.0,0.0,0.0,1,0.5,0.0,0.0,0.09359667698542277,0.06588074981614396,0.05543185301400997,0.10674003975258933,0.8816872504022386,0.12243331160196926,0.0888060430344503,0.06725453829091908,0.1429127311216661,0.8308003109984351,0.00030157931451069977,1.5984152280725539,0.09359667698542277
19,raw,baseline,9,none,False,0.0,0.0,0.0,1,0.5,0.0,0.0,0.09194514083641547,0.0646629743553974,0.054564333845067904,0.10474293215407265,0.8877572019894918,0.12322371239164664,0.08932627717404498,0.06779487043343863,0.14361505906751856,0.8270698530535063,0.00026454562577932987,1.6100238421931863,0.09194514083641547
20,raw,baseline,9,none,False,0.0,0.0,0.0,1,0.5,0.0,0.0,0.09063133111706487,0.06344860861146892,0.054365445066381385,0.10273086003683231,0.8910493983162774,0.1226436078604902,0.08893674691456971,0.06741372099007718,0.14298749151796258,0.8287475745240866,0.00022718723518744835,1.5718050440773368,0.09063133111706487
21,raw,baseline,9,none,False,0.0,0.0,0.0,1,0.5,0.0,0.0,0.08925980020452429,0.06252074368574001,0.053478115051984784,0.1013965587925028,0.8904320995012919,0.12236034032972093,0.08874382595352966,0.0672330293488525,0.14275559736746626,0.8292936538418906,0.0001903386674479956,1.593447007238865,0.08925980020452429
22,raw,baseline,9,none,False,0.0,0.0,0.0,1,0.5,0.0,0.0,0.08817136563636639,0.0616504493686888,0.05304183203864981,0.10001515155589139,0.8943415553481491,0.12303927492073281,0.08916748747095458,0.06774357611190815,0.14347347708561023,0.8280041120674643,0.00015482305867384587,1.5918645448982716,0.08817136563636639
23,raw,baseline,9,none,False,0.0,0.0,0.0,1,0.5,0.0,0.0,0.08708514802985722,0.06078086522994218,0.052608563888955996,0.09855185874082424,0.8976337446106805,0.12314543502836756,0.08929549342207523,0.0676998827890557,0.1436464124977278,0.8277672592185222,0.00012143376887723675,1.590675403829664,0.08708514802985722
24,raw,baseline,9,none,False,0.0,0.0,0.0,1,0.5,0.0,0.0,0.08572073622986122,0.059726177073187295,0.0519891163541211,0.09677645144639192,0.899691371564512,0.1228935217713361,0.08915815925581204,0.06747072514398919,0.14345147396463853,0.8286686225391462,9.091665961808393e-05,1.6378597007133067,0.08572073622986122
25,raw,baseline,9,none,False,0.0,0.0,0.0,1,0.5,0.0,0.0,0.08580086176042204,0.059941391536483056,0.051718938047135316,0.09713132453185541,0.901646093527476,0.12280016530116324,0.08905592604885729,0.06748847745990708,0.14326230406916463,0.8286751980241697,6.395343268923193e-05,1.6263849358074367,0.08580086176042204
26,raw,baseline,9,none,False,0.0,0.0,0.0,1,0.5,0.0,0.0,0.08447940448919931,0.05894892348183526,0.05106095942082228,0.09560667210155063,0.9017489768840649,0.12283400569352873,0.08905801017142652,0.06755199123832187,0.14327377122917315,0.8278856821841732,4.114640202488007e-05,1.5888620535843074,0.08447940448919931
27,raw,baseline,9,none,False,0.0,0.0,0.0,1,0.5,0.0,0.0,0.0845977642469936,0.058873296639433616,0.051448932814377325,0.09539914925893148,0.9043210047262686,0.12292035020030205,0.08912776320226833,0.06758517343136215,0.14336502762032255,0.8279120019689549,2.3005039002586135e-05,1.6068562301807106,0.0845977642469936
28,raw,baseline,9,none,False,0.0,0.0,0.0,1,0.5,0.0,0.0,0.0845571098504243,0.058971102922051044,0.05117201429826242,0.09559011106137875,0.9040123502413432,0.12299944999685564,0.08920633709230225,0.06758622662792947,0.1435043733974646,0.8277606787923274,9.9345916945683e-06,1.6081524076871574,0.0845571098504243
29,raw,baseline,9,none,False,0.0,0.0,0.0,1,0.5,0.0,0.0,0.08382682336701287,0.05844354668149242,0.05076655337104091,0.09467658113550256,0.903909479688715,0.12298615436342755,0.08918686194873884,0.06759858469173051,0.14348808635769156,0.8278725263858959,2.2270322954236198e-06,1.594726448878646,0.08382682336701287
30,raw,baseline,9,none,False,0.0,0.0,0.0,1,0.5,0.0,0.0,0.08423905438847012,0.05869417524448148,0.05108975715659283,0.09523213058710098,0.9052469231464245,0.12300732544054639,0.08920717990437936,0.0676002912170398,0.14352382121635013,0.8277540997496604,5.45349457704943e-08,1.6155527466908097,0.08423905438847012
