epoch,axial_mode,decoder_type,csi_feature_mode,spatial_stem_type,background_kernel_size,input_calibration,wrist_refinement,latent_structure_loss_weight,encoder_relation_loss_weight,train_loss,train_coord_loss,train_bone_loss,train_mpjpe,train_pck_0_2,val_loss,val_coord_loss,val_bone_loss,val_mpjpe,val_pck_0_2,val_pck_0_5,current_lr,epoch_time
1,temporal_then_spatial,joint,raw,baseline,9,none,False,0.0,0.0,0.1772653393941201,0.11464102152449249,0.12524863599916328,0.18548474009426502,0.7424441167213819,0.11541367360507594,0.08303971495468289,0.06474791749892574,0.13452510182426985,0.8325220692770563,0.9734193484177148,2.524528036268529e-05,39.8062449619174
2,temporal_then_spatial,joint,raw,baseline,9,none,False,0.0,0.0,0.11772124477237574,0.08472971652877002,0.06598305667943512,0.13723406175888492,0.8314190237544161,0.11158276940452137,0.0808356384030575,0.061494261957373314,0.13102515605995352,0.8367367216700912,0.9743559369845018,4.0751846733381384e-05,37.76513127516955
3,temporal_then_spatial,joint,raw,baseline,9,none,False,0.0,0.0,0.11327823049174222,0.08160557939993732,0.06334530234923058,0.13234533429103437,0.8388559800827613,0.10973004184227211,0.07913020846273502,0.06119966671351977,0.12848776474172255,0.8411294524253271,0.9753123114344825,6.584189671144758e-05,35.14851049380377
4,temporal_then_spatial,joint,raw,baseline,9,none,False,0.0,0.0,0.10838791709444762,0.07787599770689342,0.061023838959798515,0.12643003577972836,0.8486434852373488,0.10647994639166429,0.07640715653394543,0.06014557924529839,0.12399231873396936,0.8547561641375186,0.9783793099204223,9.941872740981103e-05,31.51407432416454
5,temporal_then_spatial,joint,raw,baseline,9,none,False,0.0,0.0,0.10311852315254937,0.07393896087129512,0.05835912481864978,0.12017148820822701,0.8600231782257561,0.10068337566408454,0.07260386768481263,0.05615901540658345,0.11831476206737658,0.8595974092512958,0.978432075294876,0.00014001467307261055,41.236908259335905
6,temporal_then_spatial,joint,raw,baseline,9,none,False,0.0,0.0,0.09813335544949639,0.07027862478697673,0.0557094611970275,0.11426927571834777,0.8703654032219115,0.09690647726367917,0.06956708820535185,0.054678777748681046,0.11311664065728912,0.8662128898475567,0.9797907886688547,0.00018585525772826518,43.7419717470184
7,temporal_then_spatial,joint,raw,baseline,9,none,False,0.0,0.0,0.09288886359542813,0.06655299265971445,0.05267174191286199,0.10825293333018708,0.8805768466370584,0.09389662920144311,0.06757464147038306,0.052643975444871344,0.10995660014702648,0.8748268697927842,0.9850871337361649,0.00023493675872253894,41.636202704161406
8,temporal_then_spatial,joint,raw,baseline,9,none,False,0.0,0.0,0.08790705190296562,0.0630303588920139,0.049753385769528924,0.10251065867401449,0.8914413168434283,0.09106232600237289,0.06600506523223582,0.050114521862693315,0.10706123375494944,0.8807893798142675,0.9840450130617988,0.0002851137907776285,42.2216055621393
9,temporal_then_spatial,joint,raw,baseline,9,none,False,0.0,0.0,0.08356700123524118,0.0599213074460462,0.047291387529480616,0.09759164049577558,0.8999833289015038,0.08587598973279481,0.061952285469905166,0.04784740845501515,0.10091251390242569,0.8930705649388823,0.9857928744690528,0.0003341930822193975,40.287193841766566
10,temporal_then_spatial,joint,raw,baseline,9,none,False,0.0,0.0,0.07990464947829927,0.057336531393391815,0.04513623629405992,0.09349456933288837,0.9068839975401203,0.08403908526789161,0.06120499099412285,0.04566818903271424,0.09944102986912878,0.8962101206478874,0.9869405267981074,0.00038002934435106225,39.5353380725719
