epoch,csi_feature_mode,spatial_stem_type,background_kernel_size,input_calibration,wrist_refinement,latent_structure_loss_weight,encoder_relation_loss_weight,distal_loss_weight,distal_replay_factor,distal_replay_fraction,source_replay_weight,wrist_direction_loss_weight,train_loss,train_coord_loss,train_bone_loss,train_mpjpe,train_pck_0_2,val_loss,val_coord_loss,val_bone_loss,val_mpjpe,val_pck_0_2,current_lr,epoch_time,train_target_loss
1,raw,baseline,9,none,False,0.0,0.0,0.0,1,0.5,0.0,0.0,0.13309256028981856,0.0986716627927474,0.06884179655416513,0.1590010933669997,0.8072702411074697,0.12263302668780865,0.08973231766424096,0.06580141886595808,0.1443852665920158,0.8289778482738912,3.4498871749967346e-05,7.636665146332234,0.13309256028981856
2,raw,baseline,9,none,False,0.0,0.0,0.0,1,0.5,0.0,0.0,0.11619367444588814,0.08414275075918362,0.06410184746171221,0.13553708409821547,0.8394375898808609,0.10934917797470815,0.07858625330888565,0.061525849162233436,0.1266767430304069,0.8511303305795327,7.624367631635267e-05,6.455543300136924,0.11619367444588814
3,raw,baseline,9,none,False,0.0,0.0,0.0,1,0.5,0.0,0.0,0.10475667637071492,0.07467899940632007,0.06015535378161772,0.12051859278369832,0.8597187964121501,0.10227202057259617,0.07269030366638214,0.059163433544193046,0.11754394668515741,0.8635322968014492,0.0001401906423021937,6.443911406677216,0.10475667637071492
4,raw,baseline,9,none,False,0.0,0.0,0.0,1,0.5,0.0,0.0,0.09614547742001804,0.06784350569969343,0.05660394341489415,0.10973363764492082,0.8787585810084402,0.09779298093746985,0.06940040275214522,0.056785156061826075,0.11233840146896569,0.8735065078181941,0.00021861344588558853,6.393230069894344,0.09614547742001804
5,raw,baseline,9,none,False,0.0,0.0,0.0,1,0.5,0.0,0.0,0.08882697705501391,0.062430376123498985,0.05279320171585789,0.10112161149581274,0.8949382782571109,0.09523937849602333,0.06801001391051957,0.05445872914277226,0.10999843656614401,0.8822109110261636,0.0003020367356379662,6.460337169002742,0.08882697705501391
6,raw,baseline,9,none,False,0.0,0.0,0.0,1,0.5,0.0,0.0,0.08393924834551635,0.059142806460092096,0.04959288420868509,0.09585721726402824,0.906351172865173,0.09443998217850938,0.06731005359047514,0.05425985733136245,0.10925281510526452,0.8823293387353393,0.00038038098173365914,6.415801836177707,0.08393924834551635
7,raw,baseline,9,none,False,0.0,0.0,0.0,1,0.5,0.0,0.0,0.08079862937883095,0.05694894575594384,0.04769936748124935,0.09229467497195727,0.913107004283387,0.09238343290218749,0.0654454024191831,0.0538760608530677,0.10587976105274718,0.8905008236190709,0.00044418032436858984,7.111582817975432,0.08079862937883095
8,raw,baseline,9,none,False,0.0,0.0,0.0,1,0.5,0.0,0.0,0.07604037141726341,0.053600366398876095,0.044880010112200254,0.08683521486726808,0.9233813516887618,0.0910207524203904,0.064837284779687,0.05236693543493606,0.10485254354114952,0.8906455654377398,0.00048572627615445745,6.390454072039574,0.07604037141726341
9,raw,baseline,9,none,False,0.0,0.0,0.0,1,0.5,0.0,0.0,0.07313292497102125,0.05145285952606319,0.043360130729866615,0.08333909662785353,0.9287517250025714,0.09130812472342202,0.06511252368162843,0.052391202268881124,0.10502137261747693,0.8899810579025255,0.0004999998265611822,7.241611522156745,0.07313292497102125
10,raw,baseline,9,none,False,0.0,0.0,0.0,1,0.5,0.0,0.0,0.06913975963621964,0.0486311511768971,0.04101721722954585,0.0787652701433794,0.9370439035215495,0.08930753259149732,0.06380896123804677,0.05099714252337185,0.10327114194829223,0.8922969694388302,0.0004971637574277529,7.2708884831517935,0.06913975963621964
11,raw,baseline,9,none,False,0.0,0.0,0.0,1,0.5,0.0,0.0,0.06526046721287715,0.04600637642321763,0.03850818200427809,0.07439909251383793,0.9449862919913398,0.0881572303749102,0.06302291501978742,0.050268630373187115,0.10209090900768436,0.8956458300620331,0.0004888066817626777,6.655864889733493,0.06526046721287715
12,raw,baseline,9,none,False,0.0,0.0,0.0,1,0.5,0.0,0.0,0.06160396268338333,0.04330113708421036,0.03660565079730234,0.07006086128361431,0.9520301813549465,0.08498328186179833,0.06016937229642931,0.049627819951325446,0.09746298473107765,0.8997447314221731,0.0004751152828266624,6.9362810999155045,0.06160396268338333
13,raw,baseline,9,none,False,0.0,0.0,0.0,1,0.5,0.0,0.0,0.057824023036677163,0.04067683682581525,0.034294372392289434,0.06583021998037526,0.9582030248347624,0.08566051581455372,0.06087951519191689,0.049562001344097106,0.09862683406554089,0.8962248078402271,0.0004563954038475819,6.405083845835179,0.057824023036677163
14,raw,baseline,9,none,False,0.0,0.0,0.0,1,0.5,0.0,0.0,0.05469237121718901,0.038441424472832386,0.03250189357701643,0.062201380337829945,0.9626680465980813,0.08427152203679197,0.059552616335201015,0.049437811346711394,0.09655337994949109,0.8995934078220167,0.0004330652159881601,6.338833627756685,0.05469237121718901
