epoch,axial_mode,decoder_type,csi_feature_mode,spatial_stem_type,background_kernel_size,input_calibration,wrist_refinement,latent_structure_loss_weight,encoder_relation_loss_weight,train_loss,train_coord_loss,train_bone_loss,train_mpjpe,train_pck_0_2,val_loss,val_coord_loss,val_bone_loss,val_mpjpe,val_pck_0_2,val_pck_0_5,current_lr,epoch_time
1,spatial_then_temporal,joint,raw,baseline,9,none,False,0.0,0.0,0.17827404130155322,0.11461460800990776,0.1273188676477261,0.186089027994479,0.7427575543310926,0.11476499718280486,0.08352699372319528,0.062476007347857514,0.1354495546773628,0.8302469179071026,0.9751166054054543,2.5245272611987258e-05,42.85198843013495
2,spatial_then_temporal,joint,raw,baseline,9,none,False,0.0,0.0,0.11764936564904412,0.08475495920197668,0.06578881294629707,0.137222192958661,0.8320883537739734,0.110603346824646,0.07974504985559133,0.06171659374494611,0.1297218637665113,0.8376406086227041,0.9762688690939068,4.075181640816509e-05,41.67150750104338
3,spatial_then_temporal,joint,raw,baseline,9,none,False,0.0,0.0,0.11255704524377712,0.08101328273367409,0.06308752496548231,0.13135194479301396,0.8401564552646481,0.10786600782915398,0.07735958458648788,0.06101284642830307,0.12557778274939385,0.8462620083491007,0.9778943789446796,6.584183097619472e-05,41.1819288181141
4,spatial_then_temporal,joint,raw,baseline,9,none,False,0.0,0.0,0.10783442080738136,0.077497273313988,0.06067429494521994,0.1258719145231721,0.850431496548567,0.1040636878285879,0.07484231688726095,0.0584427419985518,0.12202280455165439,0.854108376826769,0.979293561393832,9.941861659734224e-05,41.679617991205305
5,spatial_then_temporal,joint,raw,baseline,9,none,False,0.0,0.0,0.10285224943705733,0.07373966221782188,0.05822517425334161,0.11981953459827206,0.860776863828043,0.0993612555442033,0.07148521603993428,0.05575207958434835,0.11589012864195271,0.8732235983860346,0.9830727089775934,0.00014001451165479795,41.5583060272038
6,spatial_then_temporal,joint,raw,baseline,9,none,False,0.0,0.0,0.09793707510329239,0.07012781147661852,0.055618527419847665,0.11400899133131381,0.870880873332938,0.09519888601185363,0.06884823458062278,0.052701302741044835,0.1121386711097058,0.8712825844905995,0.9817764122103467,0.00018585504501102877,41.738999164663255
7,spatial_then_temporal,joint,raw,baseline,9,none,False,0.0,0.0,0.09317293176126212,0.0667873029183328,0.05277125757035659,0.108601256009703,0.8810057192672918,0.09125179864006278,0.06590533592450766,0.050692926030835986,0.10744073926666636,0.8805624188317193,0.9847873824319722,0.0002349364992149318,42.204463478177786
8,spatial_then_temporal,joint,raw,baseline,9,none,False,0.0,0.0,0.08854611188797377,0.06345331811799186,0.05018558756604495,0.10322225330876901,0.8898595337309602,0.0852098105792646,0.06082832286571279,0.04876297504261688,0.09915379361973868,0.8956310075300711,0.9875994571638697,0.0002851134942040719,42.26237813010812
9,spatial_then_temporal,joint,raw,baseline,9,none,False,0.0,0.0,0.08435258979647584,0.06054561342354174,0.0476139526292018,0.0985435108944557,0.898044839930322,0.08260333599131785,0.05910082976759216,0.04700501215678674,0.09630153151941888,0.9002400619012338,0.9880315556938266,0.0003341927631653793,41.81225254526362
10,spatial_then_temporal,joint,raw,baseline,9,none,False,0.0,0.0,0.08094716215342315,0.05806141377384914,0.0457714968746501,0.09462382841047821,0.9045649558291768,0.08248416091188972,0.05970197574224001,0.045564370147975874,0.09759617616732916,0.8972908154534704,0.9876611860298816,0.00038002902155469487,41.922933768015355
11,spatial_then_temporal,joint,raw,baseline,9,none,False,0.0,0.0,0.07800483439914657,0.05594869435303918,0.04411228004319628,0.09130917619841046,0.9097385060714547,0.07906716765628921,0.05740042900597608,0.04333347655004925,0.09337044809335544,0.9076543253145101,0.988168731501073,0.00042061873878230653,41.90162661904469
12,spatial_then_temporal,joint,raw,baseline,9,none,False,0.0,0.0,0.07526677237495553,0.05402328586809839,0.04248697286351507,0.08826080396047215,0.913953575478399,0.07618281537735903,0.054847675028406546,0.04267028050474179,0.08980806823497937,0.9094170143869188,0.9879561106363932,0.0004541877137473619,42.00014384603128
13,spatial_then_temporal,joint,raw,baseline,9,none,False,0.0,0.0,0.07316462434508089,0.052465343231995754,0.041398562140475215,0.08582287261399055,0.917599111092167,0.07351839978385855,0.05324420006554804,0.040548399223221676,0.08723604829590997,0.911982173036646,0.9895130385881589,0.00047926862624155507,42.21283163083717
14,spatial_then_temporal,joint,raw,baseline,9,none,False,0.0,0.0,0.07088859271776828,0.050826514242174735,0.04012415718219116,0.08327767651404118,0.9211821359421131,0.0727370645970474,0.05242266995303425,0.040628789047032224,0.08596279723776712,0.9166872482829623,0.9888888937455637,0.0004947651744033074,41.809114809148014
15,spatial_then_temporal,joint,raw,baseline,9,none,False,0.0,0.0,0.0687732410998638,0.04930304181023414,0.03894039840658841,0.0808374671422377,0.92497526293789,0.07026933686232861,0.050654488549924194,0.03922969611154662,0.08316110970061502,0.9182647506984664,0.9905555619133843,0.0004999999989929377,41.85519090620801
16,spatial_then_temporal,joint,raw,baseline,9,none,False,0.0,0.0,0.0666743743413127,0.047785401826916235,0.03777794517840999,0.07842556705468706,0.9282205619184575,0.07237445403396348,0.05240896162979397,0.039930984607817216,0.08604167386337563,0.9134362225473663,0.9893758614563648,0.0004989916013319365,41.921361265238374
17,spatial_then_temporal,joint,raw,baseline,9,none,False,0.0,0.0,0.06464751690165067,0.04627940983213583,0.036736214437798086,0.0760196808744807,0.932431289540136,0.07176559162728581,0.05106832992607429,0.04139452356431219,0.08369371403514603,0.9193004198721898,0.9914266176576968,0.0004959785502158213,41.70655381632969
18,spatial_then_temporal,joint,raw,baseline,9,none,False,0.0,0.0,0.06279123862598404,0.04491191973912938,0.0357586375408423,0.07379757339860485,0.9360855064255723,0.06635582316068955,0.047665487941768434,0.03738067087751848,0.07838700043014538,0.9255144106017219,0.991666673819224,0.0004909851049605335,41.82635598629713
