epoch,csi_feature_mode,spatial_stem_type,background_kernel_size,input_calibration,wrist_refinement,latent_structure_loss_weight,encoder_relation_loss_weight,distal_loss_weight,distal_replay_factor,distal_replay_fraction,source_replay_weight,wrist_direction_loss_weight,train_loss,train_coord_loss,train_bone_loss,train_mpjpe,train_pck_0_2,val_loss,val_coord_loss,val_bone_loss,val_mpjpe,val_pck_0_2,current_lr,epoch_time,train_target_loss
1,raw,baseline,9,none,False,0.0,0.0,0.0,1,0.5,0.0,0.0,0.13884728372832875,0.10371200526938026,0.07027055680015941,0.16724464759414578,0.7940878007147048,0.1288085008672717,0.09509310901362655,0.06743078385023131,0.1531522677781626,0.8191878577365179,3.452364389163159e-05,5.009297045879066,0.13884728372832875
2,raw,baseline,9,none,False,0.0,0.0,0.0,1,0.5,0.0,0.0,0.12367957057776274,0.09056807451777989,0.0662229922303447,0.1460256243267177,0.8277503492508406,0.11845771271659547,0.08613816799250952,0.06463909023699463,0.13865787704964488,0.8363992908959815,7.633677363410202e-05,3.856568575836718,0.12367957057776274
3,raw,baseline,9,none,False,0.0,0.0,0.0,1,0.5,0.0,0.0,0.11256714620707947,0.08109644229397361,0.06294140838914447,0.13082146757914695,0.8463923288274694,0.10915460475300907,0.07849020477911975,0.0613288002407195,0.12656944295570557,0.8503605510487143,0.00014037873084095934,3.896173742134124,0.11256714620707947
4,raw,baseline,9,none,False,0.0,0.0,0.0,1,0.5,0.0,0.0,0.10294903012705438,0.07308514256904154,0.05972777525032008,0.11813577807243959,0.8625651639773522,0.10504101028322665,0.07507108358383066,0.059939853566438876,0.12121082676114882,0.859545247524285,0.00021889849400724107,3.844967146869749,0.10294903012705438
5,raw,baseline,9,none,False,0.0,0.0,0.0,1,0.5,0.0,0.0,0.09574681939166269,0.06751246289338594,0.05646871456945384,0.10920800610456938,0.8810836818777484,0.10232886722843436,0.07320432114705605,0.05824909322334375,0.11803840814058615,0.8682364925904502,0.000302392787477261,3.84196533029899,0.09574681939166269
6,raw,baseline,9,none,False,0.0,0.0,0.0,1,0.5,0.0,0.0,0.08923048326630652,0.06280976214894542,0.05284144374875375,0.10166477546647743,0.8965157815262124,0.1003204264780855,0.07122912688144628,0.05818259899739629,0.11506186345921258,0.8709340033120083,0.0003807562663731696,3.8775305431336164,0.08923048326630652
7,raw,baseline,9,none,False,0.0,0.0,0.0,1,0.5,0.0,0.0,0.08433342149596156,0.059273247012385614,0.05012035014452758,0.09591199057705609,0.9057613237993217,0.09916503847788884,0.07033430108529648,0.05766147503753739,0.1137665422930643,0.8744078684564678,0.0004445045701816872,4.039463417138904,0.08433342149596156
8,raw,baseline,9,none,False,0.0,0.0,0.0,1,0.5,0.0,0.0,0.07963835275099601,0.055991913426069566,0.04729287795998432,0.09056318597293195,0.9181893073187934,0.10043030246308718,0.07244091455735115,0.05597877627735395,0.11692423292990264,0.8728617382862737,0.00048592221837606,4.177531813271344,0.07963835275099601
9,raw,baseline,9,none,False,0.0,0.0,0.0,1,0.5,0.0,0.0,0.0749197084226726,0.05258964443648303,0.04466012753454256,0.08508373111486435,0.928107005784541,0.09593872372493367,0.06845714035035874,0.054963166593855896,0.11076853194016803,0.8785199304148802,0.0004999993170425434,4.2108742580749094,0.0749197084226726
10,raw,baseline,9,none,False,0.0,0.0,0.0,1,0.5,0.0,0.0,0.07045853288085373,0.04939455960083891,0.04212794654347279,0.0799604019522667,0.9368038466241625,0.09653662560549126,0.06912455647259118,0.05482413820932963,0.11161299330089286,0.8798226292299355,0.0004971200501111719,4.274166378192604,0.07045853288085373
11,raw,baseline,9,none,False,0.0,0.0,0.0,1,0.5,0.0,0.0,0.0674890716355524,0.04750503108273318,0.03996808100445771,0.0767811624540223,0.9431824461030371,0.09453094995583702,0.06720216650637559,0.054657565979512025,0.10860125649206902,0.8844018176741535,0.0004887207529973828,4.277855483349413,0.0674890716355524
12,raw,baseline,9,none,False,0.0,0.0,0.0,1,0.5,0.0,0.0,0.0626321033599936,0.043891165758724565,0.03748187545457004,0.07085553271902932,0.9523731238459363,0.09399619337818962,0.06654515043112803,0.05490208523059445,0.107530366624068,0.8850136911174461,0.0004749890521192772,3.7762782922945917,0.0626321033599936
13,raw,baseline,9,none,False,0.0,0.0,0.0,1,0.5,0.0,0.0,0.059000004842693424,0.04136765875750118,0.03526469201033498,0.06680399423396145,0.9587105725429677,0.09180808698027013,0.06496659764946777,0.05368297806689944,0.10515842894520143,0.8883888707348432,0.0004562316909835195,3.755484336055815,0.059000004842693424
14,raw,baseline,9,none,False,0.0,0.0,0.0,1,0.5,0.0,0.0,0.05441395255886478,0.038167270436699006,0.03249336440806035,0.061580187542203034,0.9649657150551125,0.09172004449288465,0.06519754751034396,0.053044995163315456,0.10555001269198322,0.8887573113265279,0.00043286767804227627,3.226877049077302,0.05441395255886478
