experiment_id,split_mode,phase,command,status,started_at,finished_at,duration_seconds,checkpoint_path,manifest_hash,val_pck_0_2,val_mpjpe,test_pck_0_2,test_mpjpe,val_pck_0_05,test_pck_0_05,failure
temporal_block16_D1,temporal_block,source,"[""/data/bxliu_conda_envs/WiFiPose/bin/python"", ""/data/WiFiPose/Wi-Posev2/train.py"", ""--dataset-root"", ""/data/WiFiPose/dataset/mmfi_pose_v4"", ""--output-dir"", ""/data/WiFiPose/Wi-Posev2/outputs/final_report_seed42_v6/temporal_block16/source/d1"", ""--split-manifest"", ""/data/WiFiPose/Wi-Posev2/outputs/final_report_seed42_v6/manifests/temporal_block16_seed42.npz"", ""--batch-size"", ""64"", ""--device"", ""cuda"", ""--seed"", ""42"", ""--mode"", ""source_only"", ""--source-envs"", ""env1"", ""--epochs"", ""50"", ""--axial-mode"", ""spatial_then_temporal"", ""--decoder-type"", ""mlp"", ""--bone-loss-weight"", ""0.5""]",completed,2026-07-05T15:55:21.403305+00:00,2026-07-05T16:21:22.342329+00:00,1560.936,/data/WiFiPose/Wi-Posev2/outputs/final_report_seed42_v6/temporal_block16/source/d1/best_val_pck_0_2.pth,d5d93a233cd92523de66681ee7014fa3a623f307c5a281a66687f373b07bbb9e,0.9291622215391239,0.07351103502689596,0.9296112741019166,0.07328429259535724,0.6460485235396182,0.6452693907690004,
temporal_block16_D3,temporal_block,source,"[""/data/bxliu_conda_envs/WiFiPose/bin/python"", ""/data/WiFiPose/Wi-Posev2/train.py"", ""--dataset-root"", ""/data/WiFiPose/dataset/mmfi_pose_v4"", ""--output-dir"", ""/data/WiFiPose/Wi-Posev2/outputs/final_report_seed42_v6/temporal_block16/source/d3"", ""--split-manifest"", ""/data/WiFiPose/Wi-Posev2/outputs/final_report_seed42_v6/manifests/temporal_block16_seed42.npz"", ""--batch-size"", ""64"", ""--device"", ""cuda"", ""--seed"", ""42"", ""--mode"", ""source_only"", ""--source-envs"", ""env1"", ""--epochs"", ""50"", ""--axial-mode"", ""spatial_then_temporal"", ""--decoder-type"", ""hierarchical"", ""--bone-loss-weight"", ""0.5""]",completed,2026-07-05T16:21:44.392836+00:00,2026-07-05T16:57:30.666928+00:00,2146.271,/data/WiFiPose/Wi-Posev2/outputs/final_report_seed42_v6/temporal_block16/source/d3/best_val_pck_0_2.pth,d5d93a233cd92523de66681ee7014fa3a623f307c5a281a66687f373b07bbb9e,0.9385215111530607,0.0631335824803199,0.9395525181935124,0.062493402359618457,0.7029100274382981,0.7069759265896957,
temporal_block16_B1,temporal_block,source,"[""/data/bxliu_conda_envs/WiFiPose/bin/python"", ""/data/WiFiPose/Wi-Posev2/train.py"", ""--dataset-root"", ""/data/WiFiPose/dataset/mmfi_pose_v4"", ""--output-dir"", ""/data/WiFiPose/Wi-Posev2/outputs/final_report_seed42_v6/temporal_block16/source/b1"", ""--split-manifest"", ""/data/WiFiPose/Wi-Posev2/outputs/final_report_seed42_v6/manifests/temporal_block16_seed42.npz"", ""--batch-size"", ""64"", ""--device"", ""cuda"", ""--seed"", ""42"", ""--mode"", ""source_only"", ""--source-envs"", ""env1"", ""--epochs"", ""50"", ""--axial-mode"", ""spatial_then_temporal"", ""--decoder-type"", ""joint"", ""--bone-loss-weight"", ""0.0""]",completed,2026-07-05T16:57:55.353217+00:00,2026-07-05T17:33:12.055169+00:00,2116.699,/data/WiFiPose/Wi-Posev2/outputs/final_report_seed42_v6/temporal_block16/source/b1/best_val_pck_0_2.pth,d5d93a233cd92523de66681ee7014fa3a623f307c5a281a66687f373b07bbb9e,0.9414500047132208,0.06169924472833379,0.9427198173304118,0.06156323161028938,0.7129420828864564,0.7135203596665344,
temporal_block16_F1,temporal_block,finetune_540,"[""/data/bxliu_conda_envs/WiFiPose/bin/python"", ""/data/WiFiPose/Wi-Posev2/train.py"", ""--dataset-root"", ""/data/WiFiPose/dataset/mmfi_pose_v4"", ""--output-dir"", ""/data/WiFiPose/Wi-Posev2/outputs/final_report_seed42_v6/temporal_block16/finetune_540/f1"", ""--split-manifest"", ""/data/WiFiPose/Wi-Posev2/outputs/final_report_seed42_v6/manifests/temporal_block16_seed42.npz"", ""--batch-size"", ""64"", ""--device"", ""cuda"", ""--seed"", ""42"", ""--mode"", ""finetune"", ""--target-envs"", ""env2"", ""--finetune-from"", ""/data/WiFiPose/Wi-Posev2/outputs/final_report_seed42_v6/temporal_block16/source/a1/best_val_pck_0_2.pth"", ""--few-shot-key"", ""env2_fewshot_540"", ""--trainable-groups"", ""spatial_encoder"", ""--epochs"", ""30"", ""--axial-mode"", ""spatial_then_temporal"", ""--decoder-type"", ""joint"", ""--bone-loss-weight"", ""0.5""]",completed,2026-07-05T17:33:35.582286+00:00,2026-07-05T17:34:38.972401+00:00,63.387,/data/WiFiPose/Wi-Posev2/outputs/final_report_seed42_v6/temporal_block16/finetune_540/f1/best_val_pck_0_2.pth,d5d93a233cd92523de66681ee7014fa3a623f307c5a281a66687f373b07bbb9e,0.8206616186350231,0.15051825026915797,0.8211515495897794,0.1504599467728804,0.2860347951040173,0.2841452358457677,
temporal_block16_F2,temporal_block,finetune_540,"[""/data/bxliu_conda_envs/WiFiPose/bin/python"", ""/data/WiFiPose/Wi-Posev2/train.py"", ""--dataset-root"", ""/data/WiFiPose/dataset/mmfi_pose_v4"", ""--output-dir"", ""/data/WiFiPose/Wi-Posev2/outputs/final_report_seed42_v6/temporal_block16/finetune_540/f2"", ""--split-manifest"", ""/data/WiFiPose/Wi-Posev2/outputs/final_report_seed42_v6/manifests/temporal_block16_seed42.npz"", ""--batch-size"", ""64"", ""--device"", ""cuda"", ""--seed"", ""42"", ""--mode"", ""finetune"", ""--target-envs"", ""env2"", ""--finetune-from"", ""/data/WiFiPose/Wi-Posev2/outputs/final_report_seed42_v6/temporal_block16/source/a1/best_val_pck_0_2.pth"", ""--few-shot-key"", ""env2_fewshot_540"", ""--trainable-groups"", ""axial_encoder"", ""--epochs"", ""30"", ""--axial-mode"", ""spatial_then_temporal"", ""--decoder-type"", ""joint"", ""--bone-loss-weight"", ""0.5""]",completed,2026-07-05T17:34:43.445871+00:00,2026-07-05T17:35:43.315488+00:00,59.869,/data/WiFiPose/Wi-Posev2/outputs/final_report_seed42_v6/temporal_block16/finetune_540/f2/best_val_pck_0_2.pth,d5d93a233cd92523de66681ee7014fa3a623f307c5a281a66687f373b07bbb9e,0.8308003109984351,0.14291273140048935,0.8283420980958643,0.14334112322943687,0.3214511307479645,0.3167990221928629,
temporal_block16_F3,temporal_block,finetune_540,"[""/data/bxliu_conda_envs/WiFiPose/bin/python"", ""/data/WiFiPose/Wi-Posev2/train.py"", ""--dataset-root"", ""/data/WiFiPose/dataset/mmfi_pose_v4"", ""--output-dir"", ""/data/WiFiPose/Wi-Posev2/outputs/final_report_seed42_v6/temporal_block16/finetune_540/f3"", ""--split-manifest"", ""/data/WiFiPose/Wi-Posev2/outputs/final_report_seed42_v6/manifests/temporal_block16_seed42.npz"", ""--batch-size"", ""64"", ""--device"", ""cuda"", ""--seed"", ""42"", ""--mode"", ""finetune"", ""--target-envs"", ""env2"", ""--finetune-from"", ""/data/WiFiPose/Wi-Posev2/outputs/final_report_seed42_v6/temporal_block16/source/a1/best_val_pck_0_2.pth"", ""--few-shot-key"", ""env2_fewshot_540"", ""--trainable-groups"", ""encoder"", ""--epochs"", ""30"", ""--axial-mode"", ""spatial_then_temporal"", ""--decoder-type"", ""joint"", ""--bone-loss-weight"", ""0.5""]",completed,2026-07-05T17:35:47.791848+00:00,2026-07-05T17:36:52.543175+00:00,64.748,/data/WiFiPose/Wi-Posev2/outputs/final_report_seed42_v6/temporal_block16/finetune_540/f3/best_val_pck_0_2.pth,d5d93a233cd92523de66681ee7014fa3a623f307c5a281a66687f373b07bbb9e,0.8345570891234391,0.14086401012555394,0.8339127978258991,0.1412062483733831,0.33172798828737593,0.32809187566356607,
temporal_block16_F4,temporal_block,finetune_540,"[""/data/bxliu_conda_envs/WiFiPose/bin/python"", ""/data/WiFiPose/Wi-Posev2/train.py"", ""--dataset-root"", ""/data/WiFiPose/dataset/mmfi_pose_v4"", ""--output-dir"", ""/data/WiFiPose/Wi-Posev2/outputs/final_report_seed42_v6/temporal_block16/finetune_540/f4"", ""--split-manifest"", ""/data/WiFiPose/Wi-Posev2/outputs/final_report_seed42_v6/manifests/temporal_block16_seed42.npz"", ""--batch-size"", ""64"", ""--device"", ""cuda"", ""--seed"", ""42"", ""--mode"", ""finetune"", ""--target-envs"", ""env2"", ""--finetune-from"", ""/data/WiFiPose/Wi-Posev2/outputs/final_report_seed42_v6/temporal_block16/source/a1/best_val_pck_0_2.pth"", ""--few-shot-key"", ""env2_fewshot_540"", ""--trainable-groups"", ""decoder"", ""--epochs"", ""30"", ""--axial-mode"", ""spatial_then_temporal"", ""--decoder-type"", ""joint"", ""--bone-loss-weight"", ""0.5""]",completed,2026-07-05T17:36:57.106773+00:00,2026-07-05T17:38:07.980580+00:00,70.092,/data/WiFiPose/Wi-Posev2/outputs/final_report_seed42_v6/temporal_block16/finetune_540/f4/best_val_pck_0_2.pth,d5d93a233cd92523de66681ee7014fa3a623f307c5a281a66687f373b07bbb9e,0.8497223624794589,0.1330473353580692,0.8470559623536162,0.1328195862227443,0.36596663243281563,0.3657171506303541,
temporal_block16_F5,temporal_block,finetune_540,"[""/data/bxliu_conda_envs/WiFiPose/bin/python"", ""/data/WiFiPose/Wi-Posev2/train.py"", ""--dataset-root"", ""/data/WiFiPose/dataset/mmfi_pose_v4"", ""--output-dir"", ""/data/WiFiPose/Wi-Posev2/outputs/final_report_seed42_v6/temporal_block16/finetune_540/f5"", ""--split-manifest"", ""/data/WiFiPose/Wi-Posev2/outputs/final_report_seed42_v6/manifests/temporal_block16_seed42.npz"", ""--batch-size"", ""64"", ""--device"", ""cuda"", ""--seed"", ""42"", ""--mode"", ""finetune"", ""--target-envs"", ""env2"", ""--finetune-from"", ""/data/WiFiPose/Wi-Posev2/outputs/final_report_seed42_v6/temporal_block16/source/a1/best_val_pck_0_2.pth"", ""--few-shot-key"", ""env2_fewshot_540"", ""--trainable-groups"", ""full"", ""--epochs"", ""30"", ""--axial-mode"", ""spatial_then_temporal"", ""--decoder-type"", ""joint"", ""--bone-loss-weight"", ""0.5""]",completed,2026-07-05T17:38:12.524025+00:00,2026-07-05T17:39:28.567147+00:00,76.040,/data/WiFiPose/Wi-Posev2/outputs/final_report_seed42_v6/temporal_block16/finetune_540/f5/best_val_pck_0_2.pth,d5d93a233cd92523de66681ee7014fa3a623f307c5a281a66687f373b07bbb9e,0.8541173290607772,0.12774203323826638,0.8516784618855144,0.128122138321979,0.4042712817085913,0.40195962521396034,
temporal_block16_V2,temporal_block,finetune_scale,"[""/data/bxliu_conda_envs/WiFiPose/bin/python"", ""/data/WiFiPose/Wi-Posev2/train.py"", ""--dataset-root"", ""/data/WiFiPose/dataset/mmfi_pose_v4"", ""--output-dir"", ""/data/WiFiPose/Wi-Posev2/outputs/final_report_seed42_v6/temporal_block16/finetune_scale/v2"", ""--split-manifest"", ""/data/WiFiPose/Wi-Posev2/outputs/final_report_seed42_v6/manifests/temporal_block16_seed42.npz"", ""--batch-size"", ""64"", ""--device"", ""cuda"", ""--seed"", ""42"", ""--mode"", ""finetune"", ""--target-envs"", ""env2"", ""--finetune-from"", ""/data/WiFiPose/Wi-Posev2/outputs/final_report_seed42_v6/temporal_block16/source/a1/best_val_pck_0_2.pth"", ""--few-shot-key"", ""env2_fewshot_810"", ""--trainable-groups"", ""full"", ""--epochs"", ""30"", ""--axial-mode"", ""spatial_then_temporal"", ""--decoder-type"", ""joint"", ""--bone-loss-weight"", ""0.5""]",completed,2026-07-05T17:39:32.978913+00:00,2026-07-05T17:40:55.062990+00:00,82.081,/data/WiFiPose/Wi-Posev2/outputs/final_report_seed42_v6/temporal_block16/finetune_scale/v2/best_val_pck_0_2.pth,d5d93a233cd92523de66681ee7014fa3a623f307c5a281a66687f373b07bbb9e,,,0.8617333745707745,0.12119093166700229,,0.4316239347881201,
temporal_block16_V3,temporal_block,finetune_scale,"[""/data/bxliu_conda_envs/WiFiPose/bin/python"", ""/data/WiFiPose/Wi-Posev2/train.py"", ""--dataset-root"", ""/data/WiFiPose/dataset/mmfi_pose_v4"", ""--output-dir"", ""/data/WiFiPose/Wi-Posev2/outputs/final_report_seed42_v6/temporal_block16/finetune_scale/v3"", ""--split-manifest"", ""/data/WiFiPose/Wi-Posev2/outputs/final_report_seed42_v6/manifests/temporal_block16_seed42.npz"", ""--batch-size"", ""64"", ""--device"", ""cuda"", ""--seed"", ""42"", ""--mode"", ""finetune"", ""--target-envs"", ""env2"", ""--finetune-from"", ""/data/WiFiPose/Wi-Posev2/outputs/final_report_seed42_v6/temporal_block16/source/a1/best_val_pck_0_2.pth"", ""--few-shot-key"", ""env2_fewshot_4050"", ""--trainable-groups"", ""full"", ""--epochs"", ""30"", ""--axial-mode"", ""spatial_then_temporal"", ""--decoder-type"", ""joint"", ""--bone-loss-weight"", ""0.5""]",completed,2026-07-05T17:40:55.066651+00:00,2026-07-05T17:43:38.076873+00:00,163.007,/data/WiFiPose/Wi-Posev2/outputs/final_report_seed42_v6/temporal_block16/finetune_scale/v3/best_val_pck_0_2.pth,d5d93a233cd92523de66681ee7014fa3a623f307c5a281a66687f373b07bbb9e,,,0.8963099117243447,0.09768629347057976,,0.5412403104485275,
